K=3,weight=4.000000,tolerance=0.001000, penalty=20,training time : 3.006960, testing time: 0.028924 
K=3,weight=4.000000,tolerance=0.001000, penalty=30,training time : 3.053834, testing time: 0.030918 
K=3,weight=4.000000,tolerance=0.001000, penalty=40,training time : 3.011946, testing time: 0.028923 
K=3,weight=4.000000,tolerance=0.000010, penalty=1,training time : 2.897253, testing time: 0.031915 
K=3,weight=4.000000,tolerance=0.000010, penalty=10,training time : 2.994992, testing time: 0.028845 
K=3,weight=4.000000,tolerance=0.000010, penalty=20,training time : 2.965072, testing time: 0.029920 
K=3,weight=4.000000,tolerance=0.000010, penalty=30,training time : 2.968064, testing time: 0.036901 
K=3,weight=4.000000,tolerance=0.000010, penalty=40,training time : 3.004966, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.100000, penalty=1,training time : 3.051840, testing time: 0.030918 
K=3,weight=6.000000,tolerance=0.100000, penalty=10,training time : 2.259957, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.100000, penalty=20,training time : 2.302843, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.100000, penalty=30,training time : 3.044858, testing time: 0.032913 
K=3,weight=6.000000,tolerance=0.100000, penalty=40,training time : 3.083755, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.001000, penalty=1,training time : 2.263946, testing time: 0.029920 
K=3,weight=6.000000,tolerance=0.001000, penalty=10,training time : 2.340741, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.001000, penalty=20,training time : 2.968064, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.001000, penalty=30,training time : 3.592395, testing time: 0.028924 
K=3,weight=6.000000,tolerance=0.001000, penalty=40,training time : 2.303840, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.000010, penalty=1,training time : 2.319797, testing time: 0.031916 
K=3,weight=6.000000,tolerance=0.000010, penalty=10,training time : 2.286885, testing time: 0.028924 
K=3,weight=6.000000,tolerance=0.000010, penalty=20,training time : 3.200443, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.000010, penalty=30,training time : 2.311819, testing time: 0.029919 
K=3,weight=6.000000,tolerance=0.000010, penalty=40,training time : 2.308827, testing time: 0.028923 
K=3,weight=8.000000,tolerance=0.100000, penalty=1,training time : 3.684150, testing time: 0.029920 
K=3,weight=8.000000,tolerance=0.100000, penalty=10,training time : 3.642261, testing time: 0.028922 
K=3,weight=8.000000,tolerance=0.100000, penalty=20,training time : 2.434490, testing time: 0.028923 
K=3,weight=8.000000,tolerance=0.100000, penalty=30,training time : 3.066800, testing time: 0.028922 
K=3,weight=8.000000,tolerance=0.100000, penalty=40,training time : 3.027904, testing time: 0.028923 
K=3,weight=8.000000,tolerance=0.001000, penalty=1,training time : 3.611343, testing time: 0.028922 
K=3,weight=8.000000,tolerance=0.001000, penalty=10,training time : 3.724043, testing time: 0.029921 
K=3,weight=8.000000,tolerance=0.001000, penalty=20,training time : 2.269930, testing time: 0.028924 
K=3,weight=8.000000,tolerance=0.001000, penalty=30,training time : 3.661210, testing time: 0.028923 
K=3,weight=8.000000,tolerance=0.001000, penalty=40,training time : 2.276912, testing time: 0.028886 
K=3,weight=8.000000,tolerance=0.000010, penalty=1,training time : 3.588405, testing time: 0.029920 
K=3,weight=8.000000,tolerance=0.000010, penalty=10,training time : 3.657221, testing time: 0.029907 
K=3,weight=8.000000,tolerance=0.000010, penalty=20,training time : 2.481365, testing time: 0.028923 
K=3,weight=8.000000,tolerance=0.000010, penalty=30,training time : 3.686144, testing time: 0.030917 
K=3,weight=8.000000,tolerance=0.000010, penalty=40,training time : 2.345728, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.100000, penalty=1,training time : 8.246949, testing time: 0.035904 
K=4,weight=0.000000,tolerance=0.100000, penalty=10,training time : 2.998981, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.100000, penalty=20,training time : 3.862672, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.100000, penalty=30,training time : 3.094725, testing time: 0.042885 
K=4,weight=0.000000,tolerance=0.100000, penalty=40,training time : 2.296858, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.001000, penalty=1,training time : 7.551808, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.001000, penalty=10,training time : 8.130261, testing time: 0.034906 
K=4,weight=0.000000,tolerance=0.001000, penalty=20,training time : 3.994320, testing time: 0.036902 
K=4,weight=0.000000,tolerance=0.001000, penalty=30,training time : 7.508922, testing time: 0.041887 
K=4,weight=0.000000,tolerance=0.001000, penalty=40,training time : 3.017930, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.000010, penalty=1,training time : 4.857013, testing time: 0.034908 
K=4,weight=0.000000,tolerance=0.000010, penalty=10,training time : 3.940464, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.000010, penalty=20,training time : 3.056826, testing time: 0.034907 
K=4,weight=0.000000,tolerance=0.000010, penalty=30,training time : 3.027904, testing time: 0.036901 
K=4,weight=0.000000,tolerance=0.000010, penalty=40,training time : 2.149253, testing time: 0.033911 
K=4,weight=2.000000,tolerance=0.100000, penalty=1,training time : 6.490645, testing time: 0.034907 
K=4,weight=2.000000,tolerance=0.100000, penalty=10,training time : 5.486331, testing time: 0.034906 
K=4,weight=2.000000,tolerance=0.100000, penalty=20,training time : 5.699760, testing time: 0.033909 
K=4,weight=2.000000,tolerance=0.100000, penalty=30,training time : 5.805477, testing time: 0.035904 
K=4,weight=2.000000,tolerance=0.100000, penalty=40,training time : 7.359322, testing time: 0.033910 
K=4,weight=2.000000,tolerance=0.001000, penalty=1,training time : 5.543178, testing time: 0.034907 
K=4,weight=2.000000,tolerance=0.001000, penalty=10,training time : 7.242634, testing time: 0.034907 
K=4,weight=2.000000,tolerance=0.001000, penalty=20,training time : 5.635930, testing time: 0.034907 
K=4,weight=2.000000,tolerance=0.001000, penalty=30,training time : 5.678815, testing time: 0.033909 
K=4,weight=2.000000,tolerance=0.001000, penalty=40,training time : 5.509269, testing time: 0.042885 
K=4,weight=2.000000,tolerance=0.000010, penalty=1,training time : 5.397568, testing time: 0.042886 
K=4,weight=2.000000,tolerance=0.000010, penalty=10,training time : 5.760597, testing time: 0.035905 
K=4,weight=2.000000,tolerance=0.000010, penalty=20,training time : 5.642912, testing time: 0.033909 
K=4,weight=2.000000,tolerance=0.000010, penalty=30,training time : 5.595040, testing time: 0.033909 
K=4,weight=2.000000,tolerance=0.000010, penalty=40,training time : 5.675824, testing time: 0.033910 
