K=2,weight=6.000000,tolerance=0.001000, penalty=40,training time : 8.581041, testing time: 0.051861 
K=2,weight=6.000000,tolerance=0.000010, penalty=1,training time : 12.809728, testing time: 0.050864 
K=2,weight=6.000000,tolerance=0.000010, penalty=10,training time : 6.113642, testing time: 0.051861 
K=2,weight=6.000000,tolerance=0.000010, penalty=20,training time : 10.906819, testing time: 0.051861 
K=2,weight=6.000000,tolerance=0.000010, penalty=30,training time : 6.240304, testing time: 0.195477 
K=2,weight=6.000000,tolerance=0.000010, penalty=40,training time : 8.854311, testing time: 0.052858 
K=2,weight=8.000000,tolerance=0.100000, penalty=1,training time : 11.910135, testing time: 0.051862 
K=2,weight=8.000000,tolerance=0.100000, penalty=10,training time : 13.167770, testing time: 0.051861 
K=2,weight=8.000000,tolerance=0.100000, penalty=20,training time : 14.032457, testing time: 0.050864 
K=2,weight=8.000000,tolerance=0.100000, penalty=30,training time : 13.396158, testing time: 0.050864 
K=2,weight=8.000000,tolerance=0.100000, penalty=40,training time : 16.128847, testing time: 0.064827 
K=2,weight=8.000000,tolerance=0.001000, penalty=1,training time : 12.696032, testing time: 0.052859 
K=2,weight=8.000000,tolerance=0.001000, penalty=10,training time : 11.078360, testing time: 0.052860 
K=2,weight=8.000000,tolerance=0.001000, penalty=20,training time : 13.241572, testing time: 0.051862 
K=2,weight=8.000000,tolerance=0.001000, penalty=30,training time : 13.516836, testing time: 0.065824 
K=2,weight=8.000000,tolerance=0.001000, penalty=40,training time : 11.126232, testing time: 0.051862 
K=2,weight=8.000000,tolerance=0.000010, penalty=1,training time : 13.099952, testing time: 0.050864 
K=2,weight=8.000000,tolerance=0.000010, penalty=10,training time : 11.023507, testing time: 0.051863 
K=2,weight=8.000000,tolerance=0.000010, penalty=20,training time : 15.879514, testing time: 0.051861 
K=2,weight=8.000000,tolerance=0.000010, penalty=30,training time : 11.141191, testing time: 0.051861 
K=2,weight=8.000000,tolerance=0.000010, penalty=40,training time : 8.729644, testing time: 0.051861 
K=3,weight=0.000000,tolerance=0.100000, penalty=1,training time : 34.905610, testing time: 0.067819 
K=3,weight=0.000000,tolerance=0.100000, penalty=10,training time : 60.342553, testing time: 0.081782 
K=3,weight=0.000000,tolerance=0.100000, penalty=20,training time : 32.445193, testing time: 0.067819 
K=3,weight=0.000000,tolerance=0.100000, penalty=30,training time : 31.946527, testing time: 0.219413 
K=3,weight=0.000000,tolerance=0.100000, penalty=40,training time : 36.859382, testing time: 0.065824 
K=3,weight=0.000000,tolerance=0.001000, penalty=1,training time : 45.211037, testing time: 0.067819 
K=3,weight=0.000000,tolerance=0.001000, penalty=10,training time : 51.523150, testing time: 0.066821 
K=3,weight=0.000000,tolerance=0.001000, penalty=20,training time : 46.614284, testing time: 0.068816 
K=3,weight=0.000000,tolerance=0.001000, penalty=30,training time : 29.384382, testing time: 0.066821 
K=3,weight=0.000000,tolerance=0.001000, penalty=40,training time : 57.817310, testing time: 0.082779 
K=3,weight=0.000000,tolerance=0.000010, penalty=1,training time : 85.545124, testing time: 0.072936 
K=3,weight=0.000000,tolerance=0.000010, penalty=10,training time : 51.477242, testing time: 0.084773 
K=3,weight=0.000000,tolerance=0.000010, penalty=20,training time : 34.756010, testing time: 0.066822 
K=3,weight=0.000000,tolerance=0.000010, penalty=30,training time : 45.997932, testing time: 0.070811 
K=3,weight=0.000000,tolerance=0.000010, penalty=40,training time : 15.731910, testing time: 0.072703 
K=3,weight=2.000000,tolerance=0.100000, penalty=1,training time : 9.619263, testing time: 0.066821 
K=3,weight=2.000000,tolerance=0.100000, penalty=10,training time : 13.668430, testing time: 0.082779 
K=3,weight=2.000000,tolerance=0.100000, penalty=20,training time : 14.562040, testing time: 0.065824 
K=3,weight=2.000000,tolerance=0.100000, penalty=30,training time : 14.577997, testing time: 0.067819 
K=3,weight=2.000000,tolerance=0.100000, penalty=40,training time : 17.474248, testing time: 0.074793 
K=3,weight=2.000000,tolerance=0.001000, penalty=1,training time : 10.835011, testing time: 0.066822 
K=3,weight=2.000000,tolerance=0.001000, penalty=10,training time : 14.587970, testing time: 0.065824 
K=3,weight=2.000000,tolerance=0.001000, penalty=20,training time : 14.235912, testing time: 0.066822 
K=3,weight=2.000000,tolerance=0.001000, penalty=30,training time : 20.347560, testing time: 0.066822 
K=3,weight=2.000000,tolerance=0.001000, penalty=40,training time : 14.318690, testing time: 0.067819 
K=3,weight=2.000000,tolerance=0.000010, penalty=1,training time : 10.928761, testing time: 0.073802 
K=3,weight=2.000000,tolerance=0.000010, penalty=10,training time : 11.595975, testing time: 0.073803 
K=3,weight=2.000000,tolerance=0.000010, penalty=20,training time : 14.469287, testing time: 0.073802 
K=3,weight=2.000000,tolerance=0.000010, penalty=30,training time : 14.150141, testing time: 0.065824 
K=3,weight=2.000000,tolerance=0.000010, penalty=40,training time : 14.153133, testing time: 0.067819 
K=3,weight=4.000000,tolerance=0.100000, penalty=1,training time : 9.893529, testing time: 0.071808 
K=3,weight=4.000000,tolerance=0.100000, penalty=10,training time : 11.387533, testing time: 0.066679 
K=3,weight=4.000000,tolerance=0.100000, penalty=20,training time : 11.401495, testing time: 0.072805 
K=3,weight=4.000000,tolerance=0.100000, penalty=30,training time : 14.606919, testing time: 0.065823 
K=3,weight=4.000000,tolerance=0.100000, penalty=40,training time : 14.419421, testing time: 0.066821 
K=3,weight=4.000000,tolerance=0.001000, penalty=1,training time : 10.576702, testing time: 0.065824 
K=3,weight=4.000000,tolerance=0.001000, penalty=10,training time : 11.272839, testing time: 0.066821 
K=3,weight=4.000000,tolerance=0.001000, penalty=20,training time : 11.403490, testing time: 0.066822 
K=3,weight=4.000000,tolerance=0.001000, penalty=30,training time : 14.465298, testing time: 0.073803 
K=3,weight=4.000000,tolerance=0.001000, penalty=40,training time : 14.352600, testing time: 0.065824 
K=3,weight=4.000000,tolerance=0.000010, penalty=1,training time : 11.021512, testing time: 0.067876 
K=3,weight=4.000000,tolerance=0.000010, penalty=10,training time : 11.017522, testing time: 0.066822 
K=3,weight=4.000000,tolerance=0.000010, penalty=20,training time : 11.455351, testing time: 0.066822 
K=3,weight=4.000000,tolerance=0.000010, penalty=30,training time : 14.084318, testing time: 0.074755 
K=3,weight=4.000000,tolerance=0.000010, penalty=40,training time : 11.353623, testing time: 0.066822 
K=3,weight=6.000000,tolerance=0.100000, penalty=1,training time : 9.853637, testing time: 0.084774 
K=3,weight=6.000000,tolerance=0.100000, penalty=10,training time : 11.192056, testing time: 0.082778 
K=3,weight=6.000000,tolerance=0.100000, penalty=20,training time : 11.031486, testing time: 0.066821 
K=3,weight=6.000000,tolerance=0.100000, penalty=30,training time : 11.388530, testing time: 0.066821 
K=3,weight=6.000000,tolerance=0.100000, penalty=40,training time : 14.140168, testing time: 0.066821 
K=3,weight=6.000000,tolerance=0.001000, penalty=1,training time : 11.022509, testing time: 0.065824 
K=3,weight=6.000000,tolerance=0.001000, penalty=10,training time : 11.090328, testing time: 0.083776 
K=3,weight=6.000000,tolerance=0.001000, penalty=20,training time : 11.372573, testing time: 0.066822 
K=3,weight=6.000000,tolerance=0.001000, penalty=30,training time : 14.131192, testing time: 0.066822 
K=3,weight=6.000000,tolerance=0.001000, penalty=40,training time : 14.535111, testing time: 0.065824 
K=3,weight=6.000000,tolerance=0.000010, penalty=1,training time : 10.977630, testing time: 0.066822 
K=3,weight=6.000000,tolerance=0.000010, penalty=10,training time : 10.991592, testing time: 0.066822 
K=3,weight=6.000000,tolerance=0.000010, penalty=20,training time : 11.485271, testing time: 0.068817 
K=3,weight=6.000000,tolerance=0.000010, penalty=30,training time : 14.776466, testing time: 0.066822 
K=3,weight=6.000000,tolerance=0.000010, penalty=40,training time : 10.996578, testing time: 0.065825 
K=3,weight=8.000000,tolerance=0.100000, penalty=1,training time : 10.085017, testing time: 0.065825 
K=3,weight=8.000000,tolerance=0.100000, penalty=10,training time : 11.470311, testing time: 0.065825 
K=3,weight=8.000000,tolerance=0.100000, penalty=20,training time : 11.257879, testing time: 0.065824 
K=3,weight=8.000000,tolerance=0.100000, penalty=30,training time : 11.333677, testing time: 0.067819 
K=3,weight=8.000000,tolerance=0.100000, penalty=40,training time : 14.591959, testing time: 0.067820 
K=3,weight=8.000000,tolerance=0.001000, penalty=1,training time : 11.007549, testing time: 0.072805 
K=3,weight=8.000000,tolerance=0.001000, penalty=10,training time : 11.377559, testing time: 0.067819 
K=3,weight=8.000000,tolerance=0.001000, penalty=20,training time : 14.701665, testing time: 0.182511 
K=3,weight=8.000000,tolerance=0.001000, penalty=30,training time : 11.098307, testing time: 0.067819 
K=3,weight=8.000000,tolerance=0.001000, penalty=40,training time : 14.382520, testing time: 0.066822 
K=3,weight=8.000000,tolerance=0.000010, penalty=1,training time : 10.916792, testing time: 0.067819 
K=3,weight=8.000000,tolerance=0.000010, penalty=10,training time : 11.158147, testing time: 0.066821 
K=3,weight=8.000000,tolerance=0.000010, penalty=20,training time : 11.211005, testing time: 0.066822 
K=3,weight=8.000000,tolerance=0.000010, penalty=30,training time : 14.607917, testing time: 0.065824 
K=3,weight=8.000000,tolerance=0.000010, penalty=40,training time : 74.314173, testing time: 0.208441 
K=4,weight=0.000000,tolerance=0.100000, penalty=1,training time : 51.917095, testing time: 0.104720 
K=4,weight=0.000000,tolerance=0.100000, penalty=10,training time : 23.693607, testing time: 0.082779 
K=4,weight=0.000000,tolerance=0.100000, penalty=20,training time : 60.180986, testing time: 0.083776 
K=4,weight=0.000000,tolerance=0.100000, penalty=30,training time : 40.064806, testing time: 0.081781 
