K=3,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9893307468477207
K=3,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9951503394762367
K=3,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9844810863239574
K=3,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.976721629485936
K=3,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9980601357904947
K=3,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.997090203685742
K=3,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5906886517943744
K=3,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.600387972841901
K=3,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.6013579049466538
K=3,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5838991270611057
K=3,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5838991270611057
K=3,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.597478176527643
K=3,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5965082444228904
K=3,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.6110572259941804
K=3,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5751697381183317
K=3,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5829291949563531
K=3,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5955383123181377
K=3,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.6052376333656644
K=3,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5848690591658584
K=3,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.588748787584869
K=3,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.6207565470417071
K=3,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5945683802133851
K=3,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5926285160038798
K=3,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5780795344325897
K=3,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5732298739088264
K=3,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5732298739088264
K=3,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5945683802133851
K=3,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5935984481086324
K=3,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5926285160038798
K=3,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5877788554801164
K=3,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5596508244422891
K=3,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5965082444228904
K=3,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5848690591658584
K=3,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.588748787584869
K=3,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.588748787584869
K=3,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5722599418040737
K=3,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5926285160038798
K=3,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.588748787584869
K=3,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5877788554801164
K=3,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5809893307468477
K=3,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5800193986420951
K=3,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5916585838991271
K=3,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5877788554801164
K=3,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.585838991270611
K=3,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5838991270611057
K=3,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5712900096993211
K=3,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5916585838991271
K=3,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5877788554801164
K=3,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5897187196896218
K=3,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5955383123181377
K=3,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5441319107662463
K=3,weight=8.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5926285160038798
K=3,weight=8.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5848690591658584
K=3,weight=8.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5800193986420951
K=3,weight=8.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5790494665373423
K=3,weight=8.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5664403491755577
K=3,weight=8.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5916585838991271
K=3,weight=8.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5819592628516004
K=3,weight=8.000000,tolerance=0.001000, penalty=20, maximum training acc=0.585838991270611
K=3,weight=8.000000,tolerance=0.001000, penalty=30, maximum training acc=0.577109602327837
K=3,weight=8.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5577109602327837
K=3,weight=8.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5916585838991271
K=3,weight=8.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5926285160038798
K=3,weight=8.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5780795344325897
K=3,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5819592628516004
K=3,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5800193986420951
K=4,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9922405431619786
K=4,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9980601357904947
K=4,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=1.0
K=4,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9990300678952473
K=4,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9961202715809894
K=4,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9990300678952473
K=4,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.997090203685742
K=4,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9980601357904947
K=4,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9941804073714839
K=4,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9932104752667313
K=4,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9980601357904947
K=4,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.997090203685742
K=4,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9980601357904947
K=4,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9961202715809894
K=4,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=1.0
K=4,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.612027158098933
K=4,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.6081474296799224
K=4,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.6159068865179438
K=4,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5955383123181377
K=4,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.588748787584869
K=4,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.6139670223084384
K=4,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5945683802133851
K=4,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.6100872938894277
K=4,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.6197866149369544
K=4,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5945683802133851
K=4,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.6129970902036858
K=4,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.6081474296799224
K=4,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.6052376333656644
K=4,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.6168768186226964
K=4,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5994180407371484
K=4,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5926285160038798
K=4,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5945683802133851
K=4,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.6023278370514064
K=4,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5838991270611057
K=4,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5800193986420951
K=4,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5926285160038798
K=4,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5926285160038798
K=4,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5868089233753637
K=4,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5897187196896218
K=4,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.585838991270611
K=4,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5926285160038798
K=4,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.600387972841901
K=4,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.6013579049466538
K=4,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5761396702230844
K=4,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5732298739088264
K=4,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5916585838991271
K=4,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5906886517943744
K=4,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5809893307468477
K=4,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5916585838991271
K=4,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5645004849660524
K=4,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5935984481086324
K=4,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5848690591658584
K=4,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5809893307468477
K=4,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5906886517943744
K=4,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5693501454898157
K=4,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5935984481086324
K=4,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5906886517943744
K=4,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5965082444228904
K=4,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.588748787584869
K=4,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5596508244422891
K=4,weight=8.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5935984481086324
K=4,weight=8.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5916585838991271
K=4,weight=8.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5916585838991271
K=4,weight=8.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5877788554801164
K=4,weight=8.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5809893307468477
K=4,weight=8.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5965082444228904
K=4,weight=8.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5906886517943744
K=4,weight=8.000000,tolerance=0.001000, penalty=20, maximum training acc=0.588748787584869
K=4,weight=8.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5800193986420951
K=4,weight=8.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5926285160038798
