iteration = 1, testing time when k = 3, rho = 0.700000: 11.141584
iteration = 1, testing time when k = 3, rho = 0.900000: 12.131929
iteration = 1, testing time when k = 4, rho = 0.100000: 16.774682
iteration = 1, testing time when k = 4, rho = 0.300000: 18.233081
iteration = 1, testing time when k = 4, rho = 0.500000: 20.409480
iteration = 1, testing time when k = 4, rho = 0.700000: 22.326160
iteration = 1, testing time when k = 4, rho = 0.900000: 25.674486
k = 2, rho = 0.100000, avg_testing_time : 5.927832 
k = 2, rho = 0.300000, avg_testing_time : 5.927832 
k = 2, rho = 0.500000, avg_testing_time : 5.927832 
k = 2, rho = 0.700000, avg_testing_time : 5.927832 
k = 2, rho = 0.900000, avg_testing_time : 5.927832 
k = 3, rho = 0.100000, avg_testing_time : 12.131929 
k = 3, rho = 0.300000, avg_testing_time : 12.131929 
k = 3, rho = 0.500000, avg_testing_time : 12.131929 
k = 3, rho = 0.700000, avg_testing_time : 12.131929 
k = 3, rho = 0.900000, avg_testing_time : 12.131929 
k = 4, rho = 0.100000, avg_testing_time : 25.674486 
k = 4, rho = 0.300000, avg_testing_time : 25.674486 
k = 4, rho = 0.500000, avg_testing_time : 25.674486 
k = 4, rho = 0.700000, avg_testing_time : 25.674486 
k = 4, rho = 0.900000, avg_testing_time : 25.674486 
k = 2, rho = 0.100000, testing_time(maxacc): 5.927832 
k = 2, rho = 0.300000, testing_time(maxacc): 5.927832 
k = 2, rho = 0.500000, testing_time(maxacc): 5.927832 
k = 2, rho = 0.700000, testing_time(maxacc): 5.927832 
k = 2, rho = 0.900000, testing_time(maxacc): 5.927832 
k = 3, rho = 0.100000, testing_time(maxacc): 12.131929 
k = 3, rho = 0.300000, testing_time(maxacc): 12.131929 
k = 3, rho = 0.500000, testing_time(maxacc): 12.131929 
k = 3, rho = 0.700000, testing_time(maxacc): 12.131929 
k = 3, rho = 0.900000, testing_time(maxacc): 12.131929 
k = 4, rho = 0.100000, testing_time(maxacc): 25.674486 
k = 4, rho = 0.300000, testing_time(maxacc): 25.674486 
k = 4, rho = 0.500000, testing_time(maxacc): 25.674486 
k = 4, rho = 0.700000, testing_time(maxacc): 25.674486 
k = 4, rho = 0.900000, testing_time(maxacc): 25.674486 
